iter	Passed	Remaining
319	3407	7240
320	3422	7239
321	3437	7237
322	3448	7228
323	3460	7220
324	3473	7214
325	3486	7208
326	3497	7198
327	3507	7186
328	3518	7177
329	3531	7170
330	3541	7157
331	3552	7147
332	3563	7137
333	3573	7125
334	3585	7117
335	3596	7107
336	3606	7094
337	3617	7085
338	3628	7074
339	3637	7061
340	3649	7053
341	3660	7042
342	3669	7029
343	3682	7021
344	3693	7012
345	3707	7008
346	3720	7000
347	3733	6995
348	3745	6987
349	3756	6977
350	3769	6969
351	3791	6979
352	3802	6969
353	3814	6961
354	3825	6949
355	3834	6936
356	3846	6927
357	3856	6916
358	3867	6905
359	3879	6896
360	3889	6884
361	3899	6873
362	3914	6868
363	3924	6857
364	3934	6845
365	3946	6835
366	3956	6823
367	3965	6810
368	3977	6801
369	3987	6789
370	3998	6778
371	4010	6771
372	4022	6761
373	4032	6748
374	4044	6740
375	4054	6729
376	4063	6715
377	4075	6706
378	4085	6693
379	4095	6681
380	4107	6673
381	4118	6662
382	4130	6654
383	4142	6645
384	4152	6633
385	4162	6621
386	4174	6612
387	4184	6600
388	4194	6588
389	4206	6579
390	4216	6566
391	4227	6557
392	4239	6547
393	4249	6536
394	4261	6526
395	4272	6517
396	4281	6503
397	4291	6491
398	4301	6479
399	4311	6466
400	4321	6455
401	4331	6443
402	4342	6432
403	4352	6420
404	4362	6408
405	4371	6396
406	4381	6383
407	4391	6372
408	4402	6361
409	4411	6348
